馬季,賽事編號,名次,馬號,馬名,騎師,練馬師,實際負磅,排位檔位,獨贏賠率,距離,場地,horse_surface_win_rate,horse_dist_win_rate
26/27,20260913-01,,1,暴風一族,135,希威森,135,5,9.7,1400,草地,0.08,0.08
26/27,20260913-01,,2,悠然常勝,135,蔡明紹,135,9,10,1400,草地,0.08,0.08
26/27,20260913-01,,3,海鑽石,135,艾道拿,135,5,13,1400,草地,0.08,0.08
26/27,20260913-01,,4,競駿勇士,135,黃智弘 (-3),135,3,24,1400,草地,0.08,0.08
26/27,20260913-01,,5,全神貫注,134,袁幸堯 (-10),134,12,13,1400,草地,0.08,0.08
26/27,20260913-01,,6,萬事勝利,131,巴度,131,8,24,1400,草地,0.08,0.08
26/27,20260913-01,,7,增旺,131,奧爾民,131,13,10,1400,草地,0.08,0.08
26/27,20260913-01,,8,傳承效應,130,巫顯東 (-2),130,10,41,1400,草地,0.08,0.08
26/27,20260913-01,,9,文武全能,129,何澤堯,129,14,15,1400,草地,0.08,0.08
26/27,20260913-01,,10,籐王駒,128,霍宏聲,128,2,5,1400,草地,0.08,0.08
26/27,20260913-01,,11,巴閉佬,123,潘頓,123,6,7.9,1400,草地,0.08,0.08
26/27,20260913-01,,12,紅旺繽紛,122,周俊樂 (-2),122,5,18,1400,草地,0.08,0.08
26/27,20260913-01,,13,常常感恩,121,班德禮,121,11,24,1400,草地,0.08,0.08
26/27,20260913-01,,14,星之願,119,艾兆禮,119,4,8.1,1400,草地,0.08,0.08
26/27,20260913-02,,1,高度評價,135,梁家俊,135,2,39,1000,草地,0.08,0.08
26/27,20260913-02,,2,路路勁,132,田泰安,132,12,4.5,1000,草地,0.08,0.08
26/27,20260913-02,,3,輕功猛男,131,袁幸堯 (-10),123,5,25,1000,草地,0.08,0.08
26/27,20260913-02,,4,金珀尖子,128,金誠剛,128,8,40,1000,草地,0.08,0.08
26/27,20260913-02,,5,盈俊天下,128,周俊樂 (-2),128,11,4.8,1000,草地,0.08,0.08
26/27,20260913-02,,6,好力,127,楊明綸,127,9,65,1000,草地,0.08,0.08
26/27,20260913-02,,7,盈智多寶,127,霍宏聲,127,10,54,1000,草地,0.08,0.08
26/27,20260913-02,,8,紅海旺,126,潘頓,126,6,3.6,1000,草地,0.08,0.08
26/27,20260913-02,,9,舞林盛宴,125,何澤堯,125,4,6.8,1000,草地,0.08,0.08
26/27,20260913-02,,10,電子好好,124,黃寶妮 (-7),124,13,18,1000,草地,0.08,0.08
26/27,20260913-02,,11,雷神太保,124,艾道拿,124,1,11,1000,草地,0.08,0.08
26/27,20260913-02,,12,天寶威威,120,巫顯東 (-2),120,4,50,1000,草地,0.08,0.08
26/27,20260913-02,,13,杭至尊,119,班德禮,119,3,13,1000,草地,0.08,0.08
26/27,20260913-03,,1,鴻圖大展,134,金誠剛,134,4,25,1400,草地,0.08,0.08
26/27,20260913-03,,2,榮耀盛甲,133,霍宏聲,133,13,24,1400,草地,0.08,0.08
26/27,20260913-03,,3,東方寶寶,132,袁幸堯 (-10),132,14,8.9,1400,草地,0.08,0.08
26/27,20260913-03,,4,明亮光輝,132,潘頓,132,6,8.7,1400,草地,0.08,0.08
26/27,20260913-03,,5,朗日雪峰,132,黃智弘 (-3),132,9,27,1400,草地,0.08,0.08
26/27,20260913-03,,6,銀騰,131,楊明綸,131,11,6,1400,草地,0.08,0.08
26/27,20260913-03,,7,勝在當下,131,黃寶妮 (-7),131,5,23,1400,草地,0.08,0.08
26/27,20260913-03,,8,劍無情,129,艾兆禮,129,6,6.3,1400,草地,0.08,0.08
26/27,20260913-03,,9,多彩多姿,125,奧爾民,125,12,17,1400,草地,0.08,0.08
26/27,20260913-03,,10,發財金戈,125,周俊樂 (-2),125,2,13,1400,草地,0.08,0.08
26/27,20260913-03,,11,桃花多,123,希威森,123,5,21,1400,草地,0.08,0.08
26/27,20260913-03,,12,輕鬆大少,120,何澤堯,120,1,16,1400,草地,0.08,0.08
26/27,20260913-03,,13,快樂老撾,120,梁家俊,120,3,7.1,1400,草地,0.08,0.08
26/27,20260913-03,,14,海洋帝君,120,田泰安,120,10,7.9,1400,草地,0.08,0.08
26/27,20260913-04,,1,川河帥駒,135,黃智弘 (-3),135,14,21,1200,草地,0.08,0.08
26/27,20260913-04,,2,逍遙人生,135,希威森,135,4,9.7,1200,草地,0.08,0.08
26/27,20260913-04,,3,砂漿麒星,130,鍾易禮 (-2),130,5,10,1200,草地,0.08,0.08
26/27,20260913-04,,4,八玲瓏,129,艾兆禮,129,6,10,1200,草地,0.08,0.08
26/27,20260913-04,,5,鋼鐵安防,127,潘明輝,127,1,28,1200,草地,0.08,0.08
26/27,20260913-04,,6,小魔怪,127,梁家俊,127,13,19,1200,草地,0.08,0.08
26/27,20260913-04,,7,幸運大夫,127,霍宏聲,127,3,6,1200,草地,0.08,0.08
26/27,20260913-04,,8,錶之梵星,127,何澤堯,127,12,13,1200,草地,0.08,0.08
26/27,20260913-04,,9,綠茵明珠,126,周俊樂 (-2),126,8,18,1200,草地,0.08,0.08
26/27,20260913-04,,10,鸚姿威鵡,126,巫顯東 (-2),126,5,37,1200,草地,0.08,0.08
26/27,20260913-04,,11,你知我寶,124,奧爾民,124,4,8.1,1200,草地,0.08,0.08
26/27,20260913-04,,12,快樂高球,123,黃寶妮 (-7),123,2,4,1200,草地,0.08,0.08
26/27,20260913-04,,13,鋁主角,121,楊明綸,121,9,33,1200,草地,0.08,0.08
26/27,20260913-04,,14,安定神駒,118,蔡明紹,118,10,18,1200,草地,0.08,0.08
26/27,20260913-05,,1,十分愛,135,金誠剛,135,9,45,1200,草地,0.08,0.08
26/27,20260913-05,,2,肯佩斯,134,奧爾民,134,3,8.9,1200,草地,0.08,0.08
26/27,20260913-05,,3,渡月橋,134,周俊樂 (-2),134,5,12,1200,草地,0.08,0.08
26/27,20260913-05,,4,御登,134,鍾易禮 (-2),134,5,39,1200,草地,0.08,0.08
26/27,20260913-05,,5,鋁神,133,艾兆禮,133,13,23,1200,草地,0.08,0.08
26/27,20260913-05,,6,環球英雄,131,班德禮,131,11,35,1200,草地,0.08,0.08
26/27,20260913-05,,7,確好勁,128,梁家俊,128,14,7.3,1200,草地,0.08,0.08
